!!-- 정상적으로 모든 데이터가 로드되었습니다 --!!,	AllDataLoad,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\Frm.cs (622),	2021-07-03 오후 4:37:25
!!------ 서버 시작 ------!!,	OnLoad,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\Frm.cs (87),	2021-07-03 오후 4:37:25
[table Num : -1] protocol id LOGIN_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:37:41
[table Num : 3] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:37:41
[table Num : 3] protocol id ORDER_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:37:49
[table Num : 3] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:37:49
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:38:04
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:38:04
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:38:11
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:38:11
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:38:15
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:38:15
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:38:17
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:38:17
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:38:20
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:38:20
[table Num : 3] protocol id ORDER_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:38:44
[table Num : 3] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:38:44
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:39:00
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:39:00
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:39:03
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:39:03
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:39:05
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:39:05
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:39:09
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:39:09
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:39:12
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:39:12
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:39:17
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:39:17
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:39:20
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:39:20
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:39:24
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:39:24
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:39:27
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:39:27
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:39:29
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:39:29
