!!-- 정상적으로 모든 데이터가 로드되었습니다 --!!,	AllDataLoad,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\Frm.cs (622),	2021-08-10 오후 3:51:22
!!------ 서버 시작 ------!!,	OnLoad,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\Frm.cs (87),	2021-08-10 오후 3:51:22
[table Num : -1] protocol id LOGIN_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-08-10 오후 3:51:37
[table Num : 3] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-08-10 오후 3:51:37
[table Num : 3] client Disconnected!!,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2021-08-10 오후 3:51:41
!!-- 모든 데이터가 초기화되었습니다 --!!,	OnBtnDataInit,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\Frm.cs (721),	2021-08-10 오후 3:51:44
!!-- 종료하시면 됩니다. 수고하셨습니다~ --!!,	OnBtnDataInit,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\Frm.cs (723),	2021-08-10 오후 3:51:44
[table Num : -1] protocol id LOGIN_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-08-10 오후 3:52:01
[table Num : 3] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-08-10 오후 3:52:01
[table Num : 3] protocol id ENTER_CUSTOMER_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-08-10 오후 3:52:08
[table Num : 3] protocol id ENTER_CUSTOMER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-08-10 오후 3:52:08
[table Num : 3] client Disconnected!!,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2021-08-10 오후 3:52:31
generateLoopGame gameType: Game,	generateLoopGame,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\Frm.cs (150),	2021-08-10 오후 3:59:59
generateLoopGame gameType: Quiz,	generateLoopGame,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\Frm.cs (150),	2021-08-10 오후 4:29:59
generateLoopGame gameType: Trick,	generateLoopGame,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\Frm.cs (150),	2021-08-10 오후 4:59:59
!!!!------ Server Closing ------!!!,	frmClosing,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\Frm.cs (314),	2021-08-10 오후 5:26:22
